Potential Workshop Topics [Data visualization],Potential Workshop Topics [Data wrangling/cleaning],Potential Workshop Topics [Data summarization],Potential Workshop Topics [Linear regression],Potential Workshop Topics [Logistic regression],Potential Workshop Topics [Model selection techniques],Potential Workshop Topics [ANOVA models],Potential Workshop Topics [Classification/regression trees],Potential Workshop Topics [Random forests],Potential Workshop Topics [Mapping],Potential Workshop Topics [Simulation studies (Iteration)],Potential Workshop Topics [Handling text data],Potential Workshop Topics [Tips and structures for teaching coding in R],Potential Workshop Topics [Creating slide decks in R],Potential Workshop Topics [Creating a website with R]
Very interested,,Very interested,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very interested,Very interested,Very interested,,Very interested,
Very interested,Very interested,Unsure,Unsure,Moderately interested,Moderately interested,Moderately interested,Unsure,Unsure,Unsure,Unsure,Moderately interested,Moderately interested,Unsure,Unsure
Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
Very interested,Moderately interested,Moderately interested,Slightly interested,Moderately interested,Moderately interested,Slightly interested,Slightly interested,Slightly interested,Moderately interested,Moderately interested,Moderately interested,Not at all interested,Slightly interested,Moderately interested
Very interested,Slightly interested,Moderately interested,Slightly interested,Slightly interested,Slightly interested,Unsure,Unsure,Unsure,Moderately interested,Slightly interested,Moderately interested,Moderately interested,Moderately interested,Slightly interested
Very interested,Moderately interested,Very interested,Unsure,Unsure,Moderately interested,Unsure,Unsure,Unsure,Unsure,Unsure,Very interested,Slightly interested,Unsure,Unsure
Very interested,Moderately interested,Very interested,,,Moderately interested,,,,,,Moderately interested,,,
Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Unsure,Moderately interested,Unsure,Unsure,Moderately interested,Moderately interested,Slightly interested,Unsure,Unsure,Slightly interested
Very interested,Moderately interested,Moderately interested,Not at all interested,Not at all interested,Unsure,Not at all interested,Not at all interested,Not at all interested,Unsure,Not at all interested,Moderately interested,Not at all interested,Not at all interested,Not at all interested
Slightly interested,Moderately interested,Moderately interested,Very interested,Slightly interested,Not at all interested,Moderately interested,Slightly interested,Not at all interested,Slightly interested,Not at all interested,Moderately interested,Very interested,Moderately interested,Slightly interested
Very interested,Very interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Very interested,Not at all interested,Not at all interested,Moderately interested,Slightly interested,Slightly interested,Very interested,Not at all interested,Not at all interested
Very interested,Moderately interested,Moderately interested,Slightly interested,Slightly interested,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Moderately interested,Unsure,Slightly interested,Unsure
Very interested,Unsure,Very interested,Unsure,Unsure,Slightly interested,Unsure,Slightly interested,Unsure,Unsure,Unsure,Moderately interested,Moderately interested,Moderately interested,Moderately interested
Moderately interested,Very interested,Moderately interested,Slightly interested,Slightly interested,Moderately interested,Unsure,Slightly interested,Unsure,Unsure,Unsure,Very interested,Not at all interested,Not at all interested,Slightly interested
Very interested,Very interested,Very interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Moderately interested,Moderately interested,Moderately interested
Very interested,Very interested,Very interested,Very interested,Slightly interested,Slightly interested,Very interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Unsure,Not at all interested,Not at all interested
Moderately interested,Moderately interested,Moderately interested,Slightly interested,Slightly interested,Slightly interested,Moderately interested,Slightly interested,Slightly interested,Moderately interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Moderately interested
Moderately interested,Very interested,Very interested,Slightly interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Slightly interested,Not at all interested,Moderately interested,Moderately interested,Slightly interested,Slightly interested
Slightly interested,Very interested,Slightly interested,Slightly interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,Very interested,Slightly interested,Moderately interested,Not at all interested
Very interested,Slightly interested,Very interested,Very interested,Slightly interested,Very interested,Moderately interested,Not at all interested,Not at all interested,Not at all interested,Slightly interested,Not at all interested,Moderately interested,Not at all interested,Not at all interested
Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,Unsure,Moderately interested,Slightly interested,Very interested,Very interested,Moderately interested,Moderately interested
Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Unsure,Not at all interested
Very interested,Moderately interested,Moderately interested,Slightly interested,Slightly interested,Moderately interested,Moderately interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested
Slightly interested,Moderately interested,Slightly interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Unsure,Unsure,Slightly interested,Slightly interested,Moderately interested,Not at all interested,Not at all interested
Very interested,Slightly interested,Moderately interested,Very interested,Very interested,Very interested,Very interested,Very interested,Unsure,Unsure,Unsure,Moderately interested,Unsure,Unsure,Unsure
Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Moderately interested,Not at all interested,Slightly interested,Not at all interested,Unsure
Very interested,Very interested,Very interested,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Moderately interested,Unsure,Unsure,Very interested,Unsure,Not at all interested
,Very interested,Very interested,Moderately interested,Moderately interested,Very interested,,,,,,Very interested,Very interested,Very interested,Very interested
Very interested,Very interested,Very interested,Unsure,Unsure,Very interested,Unsure,Unsure,Unsure,Unsure,Very interested,Very interested,Unsure,Very interested,Very interested
Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Moderately interested,Moderately interested,Slightly interested,Slightly interested
,,,,,,,,,,,,,,
Very interested,Very interested,Very interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Moderately interested,Slightly interested,Moderately interested,Moderately interested,Moderately interested,Very interested
Very interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Moderately interested,Very interested,Very interested,Not at all interested,Moderately interested,Not at all interested,Moderately interested,Not at all interested,Not at all interested
Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
Very interested,Moderately interested,Moderately interested,Very interested,Very interested,Very interested,Moderately interested,Very interested,Moderately interested,Moderately interested,Very interested,Slightly interested,Moderately interested,Moderately interested,Not at all interested